gene	betweenness	eigenvector
ITGAX	0.000000	0.000130
IGFBP3	121.000000	0.001582
PTPRF	1242.000000	0.010471
SPI1	403.000000	0.002030
CSF1R	89.000000	0.002772
CARD9	78.000000	0.003523
ACP1	115.000000	0.007959
NFKBIA	11.000000	0.007348
PDPK1	269.500000	0.009713
MAPKAPK2	5.000000	0.008799
ZFP36	87.000000	0.007285
MFGE8	35.000000	0.002818
MAF	6.000000	0.002539
CCKBR	72.000000	0.000132
GNA13	252.500000	0.007485
NR4A1	15.000000	0.012931
PTEN	5294.500000	0.039205
SGK1	22.000000	0.003136
ADCY1	0.000000	0.000724
CAMK4	1.000000	0.002161
CUBN	101.000000	0.000513
AMN	0.000000	0.000002
SMAD3	2853.000000	0.015725
CACNG3	0.000000	0.000945
PTGER2	0.000000	0.000126
GNRHR	0.000000	0.000014
CDK5	193.500000	0.012371
DPYSL2	420.000000	0.015702
NOTUM	0.000000	0.000144
WNT16	0.000000	0.000405
ITGAL	20.000000	0.000444
FCER1G	49.000000	0.001321
NCR1	0.000000	0.000989
SMAD6	0.000000	0.001574
CXADR	949.500000	0.012695
TNFRSF11B	0.000000	0.000010
ITCH	4489.000000	0.016702
CFLAR	51.000000	0.002428
PLCD3	20.000000	0.004981
FGFR1	1748.500000	0.020633
PRKCD	0.000000	0.010211
CTSC	54.000000	0.004272
L1CAM	20.000000	0.003822
MAP2	0.000000	0.008837
NOTCH1	1501.000000	0.014805
SOS1	36.000000	0.004113
CRK	234.000000	0.015607
RASSF5	43.000000	0.001687
BAX	203.000000	0.007741
ADIPOR1	0.000000	0.001159
APPL1	570.000000	0.007940
PAK1	38.000000	0.010414
LIMK1	65.000000	0.005480
EIF2AK3	450.333333	0.005470
IL5	0.000000	0.000224
CLEC4M	6.000000	0.000420
SST	0.000000	0.000002
CBLB	15.000000	0.003248
CREB3	602.500000	0.003800
PML	1422.500000	0.041569
OGT	905.500000	0.051292
NACA2	1.000000	0.000887
ADCY3	251.500000	0.001837
MYL12B	121.500000	0.010714
ISG15	702.000000	0.026920
IFIH1	6.000000	0.002993
TNFRSF1A	188.500000	0.006955
EIF2AK2	256.500000	0.017557
IGF1	12.000000	0.000575
CSNK1D	5.000000	0.015361
FER	2.000000	0.003116
TAB2	80.000000	0.008419
BCL2L11	2808.000000	0.003829
CDK1	3906.000000	0.030464
BRIP1	127.500000	0.004313
TOPBP1	4215.000000	0.027639
RASD1	0.000000	0.000870
PPIF	38.000000	0.006474
CREBBP	3825.166667	0.017101
RUNX2	35.000000	0.003314
CDK9	465.500000	0.042558
SUPT4H1	3.000000	0.004972
CD86	0.000000	0.000055
CTSS	13.000000	0.005518
APC2	0.000000	0.002007
APLNR	30.000000	0.003281
PIK3R4	6.000000	0.008596
NOS1	4.000000	0.000930
ARHGEF1	23.000000	0.009187
TACR3	2.000000	0.001175
