gene	betweenness	eigenvector
LATS2	195.500000	0.011160
NR4A1	5.500000	0.013138
SPHK2	0.000000	0.001500
GAB2	69.000000	0.004358
OXT	101.000000	0.000513
SCN1B	0.000000	0.000284
GNRHR	0.000000	0.000017
HSPB2	3485.500000	0.004186
TNNI3	4.000000	0.000509
F3	1.000000	0.001295
RAPGEF1	3.000000	0.002928
RAP1A	287.500000	0.009080
SP1	988.000000	0.018500
ZBTB17	5.000000	0.003307
GNA13	52.500000	0.008223
EZR	915.500000	0.028018
SLC12A2	672.500000	0.011940
MYLK4	0.000000	0.005434
OGT	488.000000	0.051306
IRS1	1.000000	0.009666
RUNX2	24.000000	0.003343
LLGL2	487.000000	0.005506
SCRIB	283.000000	0.017706
TGFB1	185.000000	0.014583
EPHA2	578.500000	0.025431
RASA1	76.500000	0.007015
PKN1	18.000000	0.007675
E2F1	37.000000	0.008107
XIAP	106.000000	0.011472
LCP2	84.000000	0.001805
S1PR4	17.000000	0.002240
CALCA	2.000000	0.000274
CALCR	0.000000	0.000222
CXCL10	2.000000	0.000045
ISG15	77.000000	0.026200
SGK1	8.000000	0.003258
TRADD	16.000000	0.002529
CCL3L3	0.000000	0.000043
CCR5	0.000000	0.000240
CREB1	591.000000	0.010992
HLA-DMA	1.000000	0.000489
CYP19A1	6.000000	0.001003
UNC5D	0.000000	0.000928
NCBP2	16.000000	0.011278
TNFAIP3	207.000000	0.007512
ETS1	104.000000	0.003950
MMP1	2.000000	0.000614
FOXP3	1.000000	0.002786
AGRP	7.000000	0.000444
GNAO1	160.500000	0.003180
ASGR1	12.000000	0.001934
TG	0.000000	0.000734
CDK9	2938.500000	0.043946
SUPT4H1	141.000000	0.004353
TIMP3	49.000000	0.001870
MMP9	99.000000	0.001112
IL2	1.000000	0.000471
IL1R1	0.000000	0.000735
TNFSF4	0.000000	0.000000
TNFRSF4	0.000000	0.000318
BAD	10.000000	0.005523
CDX2	9.000000	0.001477
ABCB1	139.000000	0.002597
IRF9	125.000000	0.001068
IRF7	604.500000	0.005052
BAX	37.500000	0.008650
PPID	5.000000	0.007672
PPIF	239.000000	0.006665
KCNJ10	0.000000	0.001778
FCGR2A	948.000000	0.001357
HK1	50.000000	0.013687
DDIT3	25.500000	0.004901
BCL2L11	796.500000	0.003743
NFYB	202.500000	0.002720
PAK1	147.000000	0.009901
STAT4	121.000000	0.001163
CBLB	11.000000	0.003484
CLEC7A	123.000000	0.000894
CD274	58.000000	0.016847
MAPT	1918.500000	0.042263
MAPKAPK2	157.500000	0.008149
TRPA1	0.000000	0.000442
IL6R	42.000000	0.000503
TLR1	85.000000	0.000176
ITGA2	8.000000	0.005612
CADM3	2.000000	0.000525
EPB41L1	22.000000	0.009084
XBP1	10.000000	0.001702
ZAP70	304.500000	0.002813
DLG1	61.000000	0.011684
GJA1	989.000000	0.018228
GNA12	6.000000	0.002210
RASA2	39.000000	0.000793
PDCD1	1.000000	0.001673
RUNX1	226.000000	0.015586
ATF6	668.000000	0.004350
IL23R	6.000000	0.001688
TIGIT	1.000000	0.000381
STK39	46.000000	0.005879
SLC12A3	0.000000	0.004118
CR1	0.000000	0.000093
CDH17	7.000000	0.000152
PPP1CA	7297.333333	0.032967
TRPM8	32.000000	0.001154
ZYX	1229.500000	0.014473
CDKN1A	193.000000	0.016483
FBXO5	1.000000	0.002804
MEF2B	0.000000	0.000095
MEF2C	563.000000	0.001276
SHC2	5.000000	0.002329
PRKCD	549.500000	0.009078
TICAM2	1.000000	0.000514
CIITA	76.000000	0.002534
RFX5	58.000000	0.003936
INSL3	1.000000	0.000942
RXFP2	0.000000	0.000037
HLA-A	569.500000	0.015972
ROBO3	0.000000	0.000352
ROBO1	23.000000	0.005858
CAV1	4948.500000	0.026529
ACTN4	230.500000	0.025455
IHH	0.000000	0.000011
DISP1	6.000000	0.001181
IL4	0.000000	0.000401
THBS1	197.000000	0.004260
LTBP1	349.000000	0.004043
NR3C2	13.000000	0.001501
ATP1B4	5.000000	0.000629
B2M	59.500000	0.003341
CTLA4	91.500000	0.001593
MC1R	0.000000	0.000832
PIP5K1C	162.000000	0.002785
ATP2A1	378.500000	0.013548
NFKBIA	54.500000	0.007617
LEF1	13.000000	0.002454
CARD9	20.000000	0.003449
FARP2	0.000000	0.007673
HNF4A	1.000000	0.009379
FUNDC1	109.000000	0.001446
ITGAL	38.500000	0.000470
ADAM17	1.000000	0.003378
CHAT	0.000000	0.000258
SLC18A3	0.000000	0.000431
WASF2	15.500000	0.008236
CSNK1A1L	0.000000	0.006651
APP	45241.333333	0.048064
NAE1	10.500000	0.008522
KDM3B	245.500000	0.009970
UCP1	0.000000	0.000300
NFIL3	1.000000	0.002031
CRH	101.000000	0.000273
RELA	3276.000000	0.040850
RELB	3.000000	0.003390
MAPKAPK5	61.500000	0.003911
HSPB1	1910.500000	0.039786
CLTA	1353.666667	0.018693
AP2M1	3739.500000	0.024469
LEMD3	404.000000	0.014059
PTGS1	0.000000	0.001306
ADCY5	38.500000	0.000218
EIF2AK2	504.500000	0.019463
CACNG3	0.000000	0.000948
BUB1B	604.000000	0.010244
PGR	23.000000	0.003726
NOTCH2	936.000000	0.011537
AURKA	541.500000	0.031465
CPEB2	55.500000	0.001908
TAB2	201.500000	0.007989
FCER1A	4.000000	0.000768
CDK4	435.000000	0.015891
RNF152	0.000000	0.000166
PKN3	49.000000	0.006035
ORAI1	1.000000	0.001482
DPYSL5	0.000000	0.007813
DPYSL2	393.500000	0.013448
RPS3	5124.283333	0.044689
IFIT1	227.000000	0.005345
SYCP3	2.000000	0.000882
BRCA2	643.500000	0.012992
HTR2A	0.000000	0.000245
BRCA1	7125.000000	0.055988
OPTN	1926.500000	0.019669
WASL	56.000000	0.007027
ARHGEF12	1.000000	0.007349
LDLR	1630.500000	0.014339
PIKFYVE	101.000000	0.004622
SH3BP2	0.000000	0.001803
CD44	11.000000	0.014177
APOC1	58.000000	0.000476
CETP	0.000000	0.000045
MYO6	656.000000	0.024615
PIK3C2A	31.000000	0.013582
CYBA	8.000000	0.002099
CSF2RA	1.000000	0.000065
TBC1D1	3.000000	0.003896
RAB10	40.000000	0.018613
BAK1	1.000000	0.001982
TRPV5	0.000000	0.002711
IL18RAP	1.000000	0.000318
CREM	0.000000	0.003747
IL1RAPL1	0.000000	0.000528
PTPRD	34.000000	0.002198
REN	0.000000	0.000150
IGFBP3	146.500000	0.001724
CYP27B1	0.000000	0.000135
LMNA	1417.000000	0.055054
TUBB3	442.000000	0.022519
CDC6	104.500000	0.003785
DLL3	0.000000	0.001097
NOTCH1	1087.500000	0.014571
ATF2	206.000000	0.012119
ADCY3	270.000000	0.001548
TACR3	5.000000	0.001035
