gene	betweenness_norm	eigenvector_norm	betweenness_tumor	eigenvector_tumor	diff_betweenness	diff_eigenvector	rank_bet	rank_eig	ensemble_score	final_rank	delta_betweenness	delta_eigenvector
COPS5	2567.333333	0.047349	930.0	0.050361	1637.333333	0.003012000000000001	0.9733258928571429	0.9829241071428572	0.9567054841956314	99	-1637.333333	0.003012000000000001
PSMC3	916.0	0.025148	2479.0	0.022057	1563.0	0.003091	0.9725446428571428	0.9837053571428571	0.9566973752391581	100	1563.0	-0.003091
NOSIP	114.0	0.011158	2160.0	0.008511	2046.0	0.002647	0.9794642857142857	0.9766741071428572	0.9566174067283163	101	2046.0	-0.002647
HEXB	1144.5	0.064744	126.333333	0.070659	1018.166667	0.005915000000000004	0.9591517857142857	0.9972098214285714	0.9564755809550383	102	-1018.166667	0.005915000000000004
SHMT2	6031.0	0.026003	1971.5	0.028054	4059.5	0.0020510000000000007	0.9920758928571428	0.9639508928571429	0.95631244270169	103	-4059.5	0.0020510000000000007
POLR2B	4563.0	0.021773	1133.0	0.019665	3430.0	0.0021080000000000022	0.9899553571428571	0.9655133928571429	0.9558151556521046	104	-3430.0	-0.0021080000000000022
GRB2	1284.0	0.030539	249.5	0.036144	1034.5	0.005605000000000002	0.9592633928571429	0.9963169642857143	0.9557303915218431	105	-1034.5	0.005605000000000002
RPL13	3985.833333	0.035556	2630.5	0.032257	1355.333333	0.0032989999999999964	0.9690848214285714	0.9858258928571428	0.9553489093391263	106	-1355.333333	-0.0032989999999999964
RPS10	3717.333333	0.034615	2237.333333	0.031567	1480.0	0.003048000000000002	0.9712053571428572	0.9832589285714286	0.9549463388871174	107	-1480.0	-0.003048000000000002
VIM	4887.0	0.040123	6953.0	0.042632	2066.0	0.0025090000000000043	0.9796875	0.9746651785714285	0.9548672921316964	108	2066.0	0.0025090000000000043
RPL11	11280.0	0.037168	8747.333333	0.03487	2532.6666669999995	0.0022980000000000014	0.9840401785714286	0.9698660714285714	0.9543871821189412	109	-2532.6666669999995	-0.0022980000000000014
