GeneName,Betweenness_Normal,eigenvector_norm,Betweenness_Tumor,eigenvector_tumor,logFC_betweenness,logFC_eigenvector,dice_score,DiCERank,EnsembleScore,DeltaBetweenness,DeltaEigenvector,Regulation
RND3,5e-06,0.010166,5e-06,0.010166,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
TMEM80,1e-06,0.000969,1e-06,0.000969,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
LGALS9,2.3e-05,0.029972,2.3e-05,0.029972,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
PDP1,4e-06,0.005135,4e-06,0.005135,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
SMAD9,3e-06,0.004583,3e-06,0.004583,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
MYOZ3,2e-06,0.001004,2e-06,0.001004,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
ACP1,6e-06,0.007923,6e-06,0.007923,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
OXCT1,6e-06,0.007148,6e-06,0.007148,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
ZNF598,4e-06,0.029484,4e-06,0.029484,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
RNASEH2A,2e-06,0.003531,2e-06,0.003531,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
RNASEH2B,2e-06,0.003387,2e-06,0.003387,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
UQCR11,1e-06,0.00171,1e-06,0.00171,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
MANSC1,2e-06,0.002206,2e-06,0.002206,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
TNIK,2e-06,0.007172,2e-06,0.007172,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
ADIPOR1,1e-06,0.001045,1e-06,0.001045,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
TMEM200A,1e-06,0.001237,1e-06,0.001237,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
CHRNA3,1e-06,0.000336,1e-06,0.000336,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
ZNF250,5e-06,0.004026,5e-06,0.004026,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
TTR,1e-06,0.003145,1e-06,0.003145,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
ACAD11,5e-06,0.008364,5e-06,0.008364,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
SEPT2,2e-06,0.013809,2e-06,0.013809,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
CDC34,4e-06,0.016757,4e-06,0.016757,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
SAP30,3e-06,0.00788,3e-06,0.00788,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
WHSC1L1,1e-06,0.00917,1e-06,0.00917,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
CRY2,5e-06,0.009709,5e-06,0.009709,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
SEC11A,4e-06,0.005953,4e-06,0.005953,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
EXOSC8,4e-06,0.012775,4e-06,0.012775,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
PSG1,3e-06,0.000907,3e-06,0.000907,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
C14orf2,1e-06,0.002006,1e-06,0.002006,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
