source	target	direction
MYC	HK1	KEGG
TBPL2	NFYA	KEGG
DSG2	DSC2	KEGG
PSTPIP1	MEFV	KEGG
FYN	P3R3URF-PIK3R3	KEGG
CREB3	AQP2	KEGG
PDYN	GRIN1	KEGG
PRKACA	NACA2	KEGG
S1PR4	GNAI1	KEGG
PINK1	HTRA2	KEGG
CCL3L3	CCR1	KEGG
CYTH4	ARF1	KEGG
C9ORF72	RB1CC1	KEGG
PPARG	GAS6	KEGG
RHOA	ROCK2	KEGG
JUN	BCL2	KEGG
CADM3	EPB41L1	KEGG
TGIF2	SMAD2	KEGG
MAP3K8	MAP2K1	KEGG
GRB2	GAB1	KEGG
PML	BCL2A1	KEGG
PRKACA	PRKAG2	KEGG
CTTN	CRK	KEGG
SOD1	NEFL	KEGG
IL6R	GAB1	KEGG
PRKAG2	ACACA	KEGG
RALGDS	RALA	KEGG
IL12RB1	TYK2	KEGG
QRFP	QRFPR	KEGG
CCKAR	GNA13	KEGG
MEGF8	SMO	KEGG
CXCL6	CXCR2	KEGG
PRKAG2	MTOR	KEGG
DAAM1	DVL1	KEGG
NGFR	IRAK3	KEGG
NBR1	GABARAP	KEGG
GNAS	ADCY1	KEGG
MOSMO	SMO	KEGG
PIK3R6	PREX1	KEGG
NEFM	KLC3	KEGG
LYN	P3R3URF-PIK3R3	KEGG
PRKCA	MAPK14	KEGG
CDX2	ABCB1	KEGG
CALML6	CAMK4	KEGG
RORC	IL22	KEGG
EGFR	MAP2K1	KEGG
TNFRSF1A	NFKBIA	KEGG
ATG5	GABARAP	KEGG
RHOA	PTK2	KEGG
CTBP1	LEF1	KEGG
PRKCA	CREB3	KEGG
PRKAG2	SPHK2	KEGG
PRKCA	PRKACA	KEGG
E2F1	XIAP	KEGG
FHL2	TRAF2	KEGG
GRM2	GNB5	KEGG
PROS1	MERTK	KEGG
CREB3	PPARGC1A	KEGG
MAPK1	PLA2G4B	KEGG
FXYD1	ATP1B4	KEGG
TBC1D1	RAB10	KEGG
TBK1	CALCOCO2	KEGG
GAB1	PTPN11	KEGG
CFD	C3	KEGG
CXCL12	CXCR4	KEGG
NTRK3	MATK	KEGG
DRD1	DRD2	KEGG
PPARGC1A	TFAM	KEGG
MIR205	ERBB3	KEGG
NEDD4	LYN	KEGG
FN1	SDC2	KEGG
MIR125A	FGFR3	KEGG
OGT	P3R3URF-PIK3R3	KEGG
MITF	TYR	KEGG
JUN	AGER	KEGG
NTRK1	SHC2	KEGG
LEF1	MYC	KEGG
LRRC4	NTNG2	KEGG
YAP1	AFP	KEGG
FOXO6	FASLG	KEGG
NR4A1	CYP11B1	KEGG
FLT3	STAT3	KEGG
RTN3	BACE1	KEGG
CEBPB	CCL7	KEGG
MAPK14	FOXO1	KEGG
MAPK1	TNF	KEGG
SIRT1	PPARGC1A	KEGG
PLCZ1	ITPR1	KEGG
CHUK	PTEN	KEGG
SRC	GJA1	KEGG
CREB1	PER1	KEGG
NCK2	LIMS1	KEGG
LZTS3	SHANK2	KEGG
RXFP1	GNAS	KEGG
FBXW11	SKP1	KEGG
CDC42	MAP2K7	KEGG
TYROBP	NCR2	KEGG
ITGA5	F11R	KEGG
MPL	JAK2	KEGG
APELA	TGFBR1	KEGG
SYK	PIK3AP1	KEGG
TRIP10	RHOQ	KEGG
PRKACA	TTF2	KEGG
IL1R1	MTOR	KEGG
SRC	RAF1	KEGG
TBX21	IL5	KEGG
NECTIN4	AFDN	KEGG
CKS1B	SKP2	KEGG
PNPLA2	ABHD5	KEGG
CDK5	PPP1R1B	KEGG
CD247	FYN	KEGG
MIR195	MAP2K1	KEGG
TP53	POLK	KEGG
MCC	CCAR2	KEGG
PRKACA	HSD17B1	KEGG
AVPR2	GNB5	KEGG
PAK4	ARHGEF7	KEGG
AKT3	BCL2	KEGG
PHB2	GABARAP	KEGG
MIR222	PTEN	KEGG
EMP2	ITGB1	KEGG
CASP3	MAPT	KEGG
BAX	BCL2	KEGG
CNTN1	FYN	KEGG
REN	ATP6AP2	KEGG
SRC	P3R3URF-PIK3R3	KEGG
RIN1	ABL1	KEGG
ADRA1D	GNAQ	KEGG
MAPK8	CARM1	KEGG
PBX1	NCEH1	KEGG
JUN	CD40	KEGG
IRF5	IL1B	KEGG
PAK1	TIAM1	KEGG
NTF4	NGFR	KEGG
PDYN	OGFR	KEGG
RAC1	BAIAP2	KEGG
CCL3L3	CCR5	KEGG
GNAI1	MAPK14	KEGG
FOXO1	CDKN1A	KEGG
NFKB1	LTA	KEGG
ANAPC10	CCNB2	KEGG
TP53	ADGRB1	KEGG
CRH	CRHR1	KEGG
IFNGR2	JAK1	KEGG
PPP2R3B	SMG6	KEGG
IKBKB	IRS1	KEGG
RASD1	PRKACA	KEGG
FRZB	FZD10	KEGG
SLAMF1	INPP5D	KEGG
SRGAP2	RHOA	KEGG
MAPK1	FOS	KEGG
AKT3	CCL2	KEGG
PRKCQ	MAPK8	KEGG
SERPINE1	PLAU	KEGG
RAP1A	RGS14	KEGG
MAPK1	STAT1	KEGG
HSP90AA1	RIPK1	KEGG
RHOA	ACTN4	KEGG
VAMP2	STX1B	KEGG
TPTEP2-CSNK1E	YAP1	KEGG
PRKACA	PDE10A	KEGG
FOXO6	PCK1	KEGG
KDR	JAK1	KEGG
CASP3	PARP2	KEGG
RAC1	NOD1	KEGG
NGFR	SORT1	KEGG
FOSB	FOS	KEGG
AKT3	BAX	KEGG
ATF2	FGF21	KEGG
PTPN6	VAV3	KEGG
GRB2	PTPN11	KEGG
TCF3	POLB	KEGG
HTT	DLG4	KEGG
MAPK1	IL1A	KEGG
PGR	BCL6	KEGG
ILK	AKT3	KEGG
NEUROG3	NKX2-2	KEGG
ABL1	ROBO2	KEGG
EIF2S1	ATF4	KEGG
102723996	CD28	KEGG
DCN	ERBB2	KEGG
RXFP4	GNA15	KEGG
CYCS	CASP3	KEGG
MIR200A	COMMD3-BMI1	KEGG
CSK	LYN	KEGG
ICAM1	MSN	KEGG
MKNK2	ATF4	KEGG
KNG1	BDKRB1	KEGG
SOCS4	JAK1	KEGG
RAC1	ACTB	KEGG
CD44	TWIST2	KEGG
RAF1	PLD1	KEGG
MIR135A1	APC2	KEGG
MAPK1	NR4A1	KEGG
EPAS1	CREBBP	KEGG
NTRK2	PLCG1	KEGG
CD38	RYR1	KEGG
NFKB1	IL4	KEGG
RRAS2	MAPK1	KEGG
IRGM	NLRP3	KEGG
PTPRS	CTNNB1	KEGG
NECTIN2	CD226	KEGG
HRAS	RIN1	KEGG
NFKB2	FCER2	KEGG
GNAL	ADCY1	KEGG
NKX2-2	IAPP	KEGG
PRKACA	LIPE	KEGG
TYROBP	ZAP70	KEGG
GNB5	PLCB1	KEGG
HTT	UQCR11	KEGG
GNB5	RAC1	KEGG
RIGI	MAVS	KEGG
SIRPB1	SIGLEC10	KEGG
IQGAP1	MAPK1	KEGG
LTA	TNFRSF1B	KEGG
TARDBP	PSMA8	KEGG
SMAD6	SMURF1	KEGG
NFKB1	CD44	KEGG
SOD1	COX6B2	KEGG
BTC	ERBB4	KEGG
MYC	PGAM4	KEGG
SMURF1	PTCH1	KEGG
RIPK1	MAP2K3	KEGG
NFKB1	TNF	KEGG
MAP2K3	MAPK14	KEGG
ARRB1	GPR161	KEGG
NGFR	RAC1	KEGG
PPP2R3B	RYR2	KEGG
NFATC1	IL17D	KEGG
PRKACA	CACNG3	KEGG
MYC	ZBTB17	KEGG
DSC2	DSG2	KEGG
NKX2-2	GCK	KEGG
CISH	STAT3	KEGG
ATG5	ATG12	KEGG
MAP2K7	MAP3K7	KEGG
IRF3	IFNW1	KEGG
NFKB1	THBD	KEGG
MAP3K7	MAP2K3	KEGG
PLG	IGH	KEGG
GNB5	PIK3R6	KEGG
ROCK1	MYL2	KEGG
SRC	PRKCD	KEGG
CDH1	CTNNB1	KEGG
NR4A1	CYP17A1	KEGG
RALGDS	CHKA	KEGG
GRIA1	GRIN1	KEGG
PRKCI	SLC2A4	KEGG
BCL2	BAK1	KEGG
MLXIP	ACACB	KEGG
TNFSF10	TNFRSF10B	KEGG
WIF1	WNT16	KEGG
PVR	TIGIT	KEGG
MC2R	GNAS	KEGG
CD4	LCK	KEGG
MAPK8	BCL2L1	KEGG
CD84	PTPN6	KEGG
NFKB2	CD58	KEGG
MAPK1	MMP9	KEGG
MAPKAPK2	ALOX5	KEGG
EPB41L1	SPTAN1	KEGG
PRKACA	EZR	KEGG
CDC42	MAP3K5	KEGG
ERN1	XBP1	KEGG
KIRREL1	CASK	KEGG
MYC	TERT	KEGG
NFKB2	NFATC1	KEGG
CXCL1	CXCR2	KEGG
SMAD2	MMP2	KEGG
NECTIN1	AFDN	KEGG
SHC2	GRB2	KEGG
MIR129-1	SHC4	KEGG
TGFB1	FOXP3	KEGG
DAPK1	MAPK1	KEGG
CAMKK2	CAMK4	KEGG
CCR5	GNAI1	KEGG
EDNRA	GNA11	KEGG
CALML6	NOS1	KEGG
L1CAM	KDR	KEGG
MAP2K1	BAD	KEGG
PTK2	FYN	KEGG
WFS1	ATF6B	KEGG
MNX1	PDX1	KEGG
S1PR2	GNA13	KEGG
MAVS	CHUK	KEGG
MAPK14	IRF4	KEGG
JUN	ICAM1	KEGG
PRKCB	CARD11	KEGG
PXN	ACTB	KEGG
MIR143	RAF1	KEGG
NFIL3	RORA	KEGG
HSPA9	TLR4	KEGG
SLAMF1	SH2D1A	KEGG
NFKB1	FOS	KEGG
GNG12	FGD1	KEGG
CCL15	CCR1	KEGG
NPPC	NPR3	KEGG
CXCL13	CXCR5	KEGG
SIRT1	CTNNB1	KEGG
FOXO6	S1PR1	KEGG
WASL	ACTB	KEGG
HLA-A	KIR2DS2	KEGG
STAT3	MYC	KEGG
ROCK1	CTNNB1	KEGG
AKT3	NOS3	KEGG
PRKAA1	RPTOR	KEGG
NLRP12	NFKB1	KEGG
CAPN1	TP53	KEGG
HEY1	CDKN1A	KEGG
CSF1R	PLCB1	KEGG
ATP1B4	SLC8A2	KEGG
S1PR3	GNAQ	KEGG
CTNNB1	MYC	KEGG
RGS14	ITGAL	KEGG
P3R3URF-PIK3R3	PDPK1	KEGG
MAP2K7	MAPK8IP3	KEGG
NFKB1	IL1A	KEGG
GRK7	RHO	KEGG
CALML6	PYGB	KEGG
FOS	IL1A	KEGG
CEBPB	MMP3	KEGG
RASGRF1	RRAS2	KEGG
FIS1	TBC1D15	KEGG
FYN	PLCG1	KEGG
GNAI1	HRAS	KEGG
IL1R1	MYD88	KEGG
PABPC4L	PAN3	KEGG
CTNNB1	MAGI3	KEGG
PRKN	GPR37	KEGG
AKT3	NR4A1	KEGG
TNFRSF1B	TRAF2	KEGG
EREG	ERBB4	KEGG
NTRK1	SH2B3	KEGG
BTK	BLNK	KEGG
TMEM53	SMAD1	KEGG
CDC42	MAPK14	KEGG
TUBA1B	ARHGEF2	KEGG
GHRL	GHSR	KEGG
USP7	TP53	KEGG
LYN	BANK1	KEGG
NPPB	NPR1	KEGG
PSEN1	GSK3B	KEGG
PRKACA	ATG13	KEGG
SERPINE1	PLAT	KEGG
CEBPB	DEFB4B	KEGG
NAIP	NLRP4	KEGG
CD3E	FYN	KEGG
IFNGR1	STAT1	KEGG
CREB3	POMC	KEGG
SRC	CARM1	KEGG
PTPRM	CTNND1	KEGG
ICAM1	HRAS	KEGG
FRS2	GRB2	KEGG
NECTIN3	TIGIT	KEGG
HIF1A	LDHAL6A	KEGG
CD58	CD2	KEGG
PRKACA	PDX1	KEGG
TP73	BBC3	KEGG
ANAPC10	PTTG2	KEGG
RAP1A	VAV3	KEGG
GRK2	102723532	KEGG
PRKACA	GYS1	KEGG
NR1H4	RXRA	KEGG
MIR145	EGFR	KEGG
SMO	PRKACA	KEGG
IKBKE	CYLD	KEGG
PRKCA	NFKBIA	KEGG
MIR143	SOS1	KEGG
FOS	CCL11	KEGG
ANK1	ITPR1	KEGG
AKT3	FOXO1	KEGG
VTN	ITGAV	KEGG
NFKB1	MMP9	KEGG
CALCA	CALCR	KEGG
MAPK14	DDIT3	KEGG
PRKG1	IRAG1	KEGG
PSEN1	RYR1	KEGG
FOS	MMP9	KEGG
PRKAG2	HMGCR	KEGG
E2F1	FOXM1	KEGG
NFKB1	AMH	KEGG
PPP2CA	ULK1	KEGG
CEBPB	S100A7A	KEGG
U2AF1L5	CXCL8	KEGG
HSPA1A	MAPK8	KEGG
NOS1AP	RASD1	KEGG
TP53	BAK1	KEGG
CARM1	FOS	KEGG
SSX2IP	AFDN	KEGG
FOXO6	GABARAP	KEGG
KIR2DL1	PTPN6	KEGG
PYDC2	PYCARD	KEGG
GRB2	LAT	KEGG
P3R3URF-PIK3R3	THRA	KEGG
TFAP4	CDKN1A	KEGG
PTPRF	INSR	KEGG
MAPK14	MAPKAPK3	KEGG
MAPK1	CSF2	KEGG
CXCL12	ACKR3	KEGG
ERBB3	P3R3URF-PIK3R3	KEGG
MIR20A	E2F3	KEGG
MAPK14	MAPKAPK5	KEGG
TP53	CDKN1B	KEGG
FCER1G	ZAP70	KEGG
MAPT	TUBA1B	KEGG
MPZ	PMP2	KEGG
RALGDS	RAC1	KEGG
AVPR2	GNAS	KEGG
MIR21	SPRY2	KEGG
ADAM17	TNF	KEGG
PRKCA	GNB5	KEGG
MAGI3	RAPGEF6	KEGG
PAX8	TG	KEGG
CAMK2A	MAPK14	KEGG
MICALL2	RAB8A	KEGG
LSP1	CYLD	KEGG
AGT	LPAR6	KEGG
FES	PLXNA1	KEGG
LPAR6	GNAS	KEGG
PARP1	GAPDH	KEGG
DRD2	GNAI1	KEGG
NFE2L2	THBD	KEGG
GNAI1	KCNJ3	KEGG
ABL1	RB1	KEGG
P3R3URF-PIK3R3	CASP3	KEGG
PDPK1	RPS6KB1	KEGG
CXCL10	CXCR3	KEGG
CTNNA1	AFDN	KEGG
AKT1S1	RPTOR	KEGG
HTR7	GNB5	KEGG
MIR21	SERPINB5	KEGG
HRAS	FOS	KEGG
MAPK1	PLAUR	KEGG
RHOA	PIP5K1C	KEGG
MAP3K5	MAP2K3	KEGG
TRADD	FADD	KEGG
MAPK14	MAP2K6	KEGG
PRKAG2	SLC2A1	KEGG
TNF	PSME3	KEGG
CHMP4B	PDCD6IP	KEGG
ESR1	CARM1	KEGG
MAP3K2	MAP2K5	KEGG
NUMB	NOTCH1	KEGG
DUSP3	MAPK14	KEGG
CAMK2A	MAPT	KEGG
RBPJL	RUNX3	KEGG
TAB2	TRAF6	KEGG
SLAMF6	PTPN6	KEGG
SRC	TRPV1	KEGG
SIVA1	BCL2	KEGG
CCKBR	GNB5	KEGG
SMAD2	CDKN1A	KEGG
BCL10	MALT1	KEGG
LIF	IL6ST	KEGG
LTA	TNFRSF1A	KEGG
CNTNAP1	CNTN1	KEGG
C1QA	SCARF1	KEGG
RXFP3	GNAO1	KEGG
TGFBR1	SNAI1	KEGG
EPG5	RAB7B	KEGG
KIR3DL1	PTPN11	KEGG
ADCYAP1R1	GNB5	KEGG
PRKCE	MSN	KEGG
RAF1	PLK3	KEGG
MAP3K7	PRKAG2	KEGG
PRKG1	GTF2I	KEGG
MIR106A	CDKN1A	KEGG
RIPK1	SLC25A4	KEGG
AGER	PLCD3	KEGG
CD44	ANK1	KEGG
RSPO1	RNF43	KEGG
IRF3	CXCL9	KEGG
GSK3B	CREB3	KEGG
SIRT1	TP53	KEGG
NOTCH1	HEY1	KEGG
MAGI1	RAP1A	KEGG
BBC3	BCL2	KEGG
CNTN2	LYN	KEGG
GAB1	P3R3URF-PIK3R3	KEGG
BCL2	VDAC1	KEGG
EDN1	CHRM1	KEGG
F2	F13A1	KEGG
GSK3B	MAPT	KEGG
ATXN2L	ITPR1	KEGG
NEUROG3	NEUROD1	KEGG
NFATC1	CTSK	KEGG
FOXA2	SOD2	KEGG
GNAO1	GNB5	KEGG
DEPTOR	MTOR	KEGG
TGFBR1	DAXX	KEGG
MAPK8	NFATC1	KEGG
OGA	OGT	KEGG
HSPA5	ATF6	KEGG
PTPN11	VAV3	KEGG
TP53	ZMAT3	KEGG
PXN	VCL	KEGG
HLA-A	112268355	KEGG
CDK1	CCNB3	KEGG
RAP1A	RAC1	KEGG
SPX	GALR1	KEGG
HRAS	MAPK8	KEGG
RAB7A	TCIRG1	KEGG
GNAI1	GNB5	KEGG
THRB	PLN	KEGG
PPP1R1B	PPP1CA	KEGG
NFATC1	IFNG	KEGG
HTR1A	GNB5	KEGG
WASL	VCL	KEGG
CFHR4	CFH	KEGG
CD38	TPCN2	KEGG
P3R3URF-PIK3R3	PLD1	KEGG
ROBO2	SRGAP2	KEGG
LYN	PTK2	KEGG
SOST	LRP6	KEGG
SPDYE12	CDK1	KEGG
GADD45G	CCNB3	KEGG
RRAS2	HIF1A	KEGG
TRADD	TRAF3	KEGG
IRF3	IFNA1	KEGG
GRM4	GNB5	KEGG
TLR5	TRAF6	KEGG
MYC	SLC1A5	KEGG
ATF2	ZNF516	KEGG
NFKB1	CSF2	KEGG
MLKL	TRPM7	KEGG
SOS1	RRAS2	KEGG
BLK	BANK1	KEGG
CDH1	RAPGEF1	KEGG
PRKACA	KCNMB2	KEGG
PTPRM	CTNNB1	KEGG
SRGAP2	CDC42	KEGG
MTX2	GABARAP	KEGG
ARHGAP35	RHOA	KEGG
CHRM4	GNB5	KEGG
GAB1	SOS1	KEGG
NFKB2	IFNB1	KEGG
AHR	CYP1B1	KEGG
RHOA	CFL1	KEGG
PLK1	PKMYT1	KEGG
CHRM2	GNB5	KEGG
HCST	GRB2	KEGG
NGFR	RIPK2	KEGG
KL	INSR	KEGG
GJA1	TUBB3	KEGG
PTTG2	ESPL1	KEGG
MLKL	PGAM5	KEGG
FER	CTNND1	KEGG
JUN	CCL5	KEGG
FERMT3	ITGA2B	KEGG
FMOD	TGFB1	KEGG
MTOR	TTI1	KEGG
PLCG1	PRKCQ	KEGG
SPHK2	HRAS	KEGG
MIR106A	E2F1	KEGG
NFKB1	IL10	KEGG
IRS2	P3R3URF-PIK3R3	KEGG
FOXO6	ATG12	KEGG
FOS	IL10	KEGG
IL6	IL6R	KEGG
TRAF6	MAPK8	KEGG
MVB12B	PDCD6IP	KEGG
LCP2	FOS	KEGG
SNCA	TH	KEGG
GABRA1	GPHN	KEGG
BAMBI	LRP6	KEGG
PPP2CA	STAT1	KEGG
SRC	STAT3	KEGG
FGR	ITK	KEGG
PPP2CA	STK3	KEGG
FAS	DAXX	KEGG
PRKCB	MAPK1	KEGG
NPPA	NPR3	KEGG
MAPKAPK2	ZFP36	KEGG
GSK3B	IGF1	KEGG
AMOT	ARHGAP17	KEGG
NSMAF	SMPD2	KEGG
TNF	ICAM1	KEGG
GATA3	TBX21	KEGG
APP	CNTN2	KEGG
CGA	LHCGR	KEGG
FGR	P3R3URF-PIK3R3	KEGG
CACNA1I	NOS1	KEGG
U2AF1L5	IL1B	KEGG
CCKAR	BST1	KEGG
PRKCA	ILK	KEGG
CRTC2	PPARGC1A	KEGG
GSK3B	CCND1	KEGG
CARD9	RIPK2	KEGG
RAC1	MAP3K1	KEGG
PALS1	PATJ	KEGG
KISS1R	P3R3URF-PIK3R3	KEGG
CACNA1C	RYR1	KEGG
PRKCB	MMP2	KEGG
MIR128-1	E2F3	KEGG
TP53	COP1	KEGG
RAD50	MRE11	KEGG
SRC	CTTN	KEGG
STK3	MOB1A	KEGG
JAK2	SHC2	KEGG
NFKB1	CCL20	KEGG
PYDC5	AIM2	KEGG
TP53	CCNG1	KEGG
NPS	NPSR1	KEGG
FOS	CCL20	KEGG
JUN	HRK	KEGG
CREM	BCL2	KEGG
IRF7	IFNB1	KEGG
ITGA5	JAM3	KEGG
P2RY13	GNB5	KEGG
LEMD3	SMAD2	KEGG
EIF2AK2	IFIT1	KEGG
KLF2	NPPC	KEGG
TNNI3	TPM1	KEGG
JUN	CAMP	KEGG
AKT3	NOS1	KEGG
YKT6	SNAP29	KEGG
CDKN1A	CDK2	KEGG
EGFR	GAB1	KEGG
102723532	GNAL	KEGG
PRKCB	NFKB1	KEGG
PRKACA	GRIN3A	KEGG
NFE2L2	AKR1A1	KEGG
KRIT1	CTNNB1	KEGG
FGFR1	P3R3URF-PIK3R3	KEGG
LMO7	AFDN	KEGG
P3R3URF-PIK3R3	RAF1	KEGG
SIRT1	BAX	KEGG
VAMP2	STX4	KEGG
CTNNB1	CCM2	KEGG
RAPGEF3	MAPK14	KEGG
EIF2AK2	FADD	KEGG
CREB3	NCEH1	KEGG
RASGRP3	HRAS	KEGG
ICAM2	MSN	KEGG
CD14	TAB1	KEGG
BDKRB2	GNA11	KEGG
P3R3URF-PIK3R3	ITK	KEGG
MAVS	STING1	KEGG
TRIO	RAC1	KEGG
TBPL2	RBPJL	KEGG
IRF3	APOBEC3A_B	KEGG
MAPK8	NFKB1	KEGG
RB1	E2F1	KEGG
ALS2	RAB5A	KEGG
SST	CHRM1	KEGG
MTNR1A	GNB5	KEGG
BAMBI	TGFBR1	KEGG
CIITA	HLA-DMA	KEGG
NFKB2	ENTPD8	KEGG
AKT3	RPS6KB1	KEGG
GRB2	SOS1	KEGG
ERO1A	PDIA4	KEGG
OXTR	RHOA	KEGG
DUSP10	MAPK1	KEGG
ADRB2	GNAS	KEGG
GAL	GALR1	KEGG
RHOA	NOD1	KEGG
LRIG2	NEO1	KEGG
PTPRC	CD22	KEGG
PGR	STAT5A	KEGG
PSEN1	CTNNB1	KEGG
MET	SRC	KEGG
STAT5A	IL4R	KEGG
CNR1	GNAI1	KEGG
GP6	FCER1G	KEGG
MAPK1	PDYN	KEGG
ERBB2	JAK1	KEGG
PRKACA	BAX	KEGG
IGF1R	GAB1	KEGG
SDC1	WNT1	KEGG
TNFRSF1A	TRADD	KEGG
SOCS3	LEPR	KEGG
CBL	MYC	KEGG
P3R3URF-PIK3R3	PRKCI	KEGG
CNTN1	L1CAM	KEGG
TNFSF14	TNFRSF14	KEGG
MEF2B	KLF2	KEGG
MAP3K1	MAP2K4	KEGG
STAT4	TBX21	KEGG
RAC1	WASL	KEGG
BRCA1	PALB2	KEGG
GNAI1	FGR	KEGG
TRIP6	RIPK2	KEGG
TBK1	TRAF3IP2	KEGG
RIPK3	GLUL	KEGG
MAPK8	IL6	KEGG
CD320	TCN2	KEGG
NFIL3	NR1D1	KEGG
NFATC1	ACP5	KEGG
PPARA	CPT1C	KEGG
MAPK8	CRK	KEGG
SOCS3	SREBF1	KEGG
L1CAM	ANK2	KEGG
IFIT1	EIF3E	KEGG
NECTIN2	NECTIN3	KEGG
POMC	MC1R	KEGG
INSR	SHC2	KEGG
SREBF1	LPIN1	KEGG
CHUK	NFKB2	KEGG
JUN	IFNG	KEGG
RRAS2	RASSF1	KEGG
DVL1	RAC1	KEGG
IRF3	CXCL11	KEGG
MAP2K6	MAPKAPK2	KEGG
NFKB1	CFLAR	KEGG
SNX18	WASL	KEGG
SEC31A	SEC24B	KEGG
BCL2L1	NLRP1	KEGG
SVIP	UBXN2A	KEGG
NPY1R	GNAI1	KEGG
PAK1	MAP3K14	KEGG
FOXO3	GALT	KEGG
PAK1	CDC42	KEGG
PGR	MAPK14	KEGG
AGER	CYBB	KEGG
GAST	CCKBR	KEGG
ADORA2A	GNB5	KEGG
SP1	STAR	KEGG
LEP	LEPR	KEGG
TRAF3	TANK	KEGG
PRKACA	MEF2A	KEGG
TAPBPL	TAP1	KEGG
JUP	LEF1	KEGG
TNNC1	TNNI3	KEGG
CIITA	CREB1	KEGG
CRB3	PARD6A	KEGG
PDGFRA	GAB1	KEGG
ZNF516	KDM1A	KEGG
INVS	DVL1	KEGG
PPP1CA	CALML6	KEGG
PGAM5	DNM1L	KEGG
NTRK3	SH2B2	KEGG
FER	CTNNB1	KEGG
GPSM1	GNAI1	KEGG
SIRT1	FOS	KEGG
ADCYAP1R1	GNAS	KEGG
PRKACA	ITPR1	KEGG
MIR222	TIMP3	KEGG
STAT1	RIPK1	KEGG
P3R3URF-PIK3R3	PRKCD	KEGG
CTNND2	LEF1	KEGG
DLG1	PTEN	KEGG
KDR	SRC	KEGG
HLA-B	KIR3DL1	KEGG
CD247	SYK	KEGG
ATF2	PPARGC1A	KEGG
PECAM1	CTNNB1	KEGG
IL4R	JAK1	KEGG
PRKACA	CACNA1C	KEGG
FCGR2A	MAPK14	KEGG
PATE3	CHRNA1	KEGG
THRA	ACTB	KEGG
PAK1	MAP2K4	KEGG
CDX2	MUC2	KEGG
CHEK1	CDC25C	KEGG
CFI	C3	KEGG
SYK	SHC2	KEGG
PRKACA	PRKAA1	KEGG
MAPK1	CREB3	KEGG
NFATC1	TRPC6	KEGG
EGFR	PTPN11	KEGG
PRKCA	PLCG1	KEGG
RAC1	MAPK8	KEGG
KITLG	KIT	KEGG
GCG	PRKAG2	KEGG
MRAS	P3R3URF-PIK3R3	KEGG
TAX1BP1	GABARAP	KEGG
NOTCH1	RBPJL	KEGG
CASR	GNA11	KEGG
RNF103-CHMP3	MLKL	KEGG
TUBB3	ARHGEF2	KEGG
ABL1	ROBO1	KEGG
FOS	CSH1	KEGG
MIR143	ATM	KEGG
WNK1	TRPV5	KEGG
MAPK14	MAPKAPK2	KEGG
PRKCA	PPP1R1A	KEGG
PRNP	SOD1	KEGG
STAT3	POMC	KEGG
WNT1	FZD10	KEGG
RRAS2	RALBP1	KEGG
PRKACA	FOS	KEGG
IL10	IL10RA	KEGG
IKBKE	TBK1	KEGG
HLA-DMA	CD74	KEGG
PIK3R6	AKT3	KEGG
GSK3B	IGFBP3	KEGG
PAX6	IAPP	KEGG
GNRHR	GNB5	KEGG
SPI1	CSF3R	KEGG
MAP3K1	MAPK8	KEGG
RBCK1	SPATA2L	KEGG
SMAD1	DUSP9	KEGG
RAC1	CYBA	KEGG
TP53	CDKN1A	KEGG
ITGAX	JAM3	KEGG
AKT3	BIRC5	KEGG
AFDN	TJP1	KEGG
HCK	FCGR2A	KEGG
MAPK1	IRS1	KEGG
LLGL2	DLG1	KEGG
FANCM	CENPS-CORT	KEGG
SLAMF1	SH2D1B	KEGG
TNFSF10	TNFRSF10D	KEGG
HGS	STAM2	KEGG
PRKACA	GABARAP	KEGG
UBE3A	CTNNB1	KEGG
FYN	FCER1G	KEGG
TRAF6	MAP3K7	KEGG
ITGAL	ICAM2	KEGG
ULK1	SMCR8	KEGG
PAX6	GCK	KEGG
BCL2	SOD1	KEGG
CAMK2A	ADCY3	KEGG
PLXNA1	RND1	KEGG
CTNNA1	TJP1	KEGG
MTOR	IGFBP3	KEGG
KCNJ3	CACNA1A	KEGG
SPDYE12	CDK2	KEGG
SRC	MMP2	KEGG
MIR19A	THBS1	KEGG
THRA	CTNNB1	KEGG
PRKACA	NR4A1	KEGG
BID	CYCS	KEGG
SDC1	ITGAV	KEGG
PPARGC1A	SLC2A4	KEGG
GRM1	GNAQ	KEGG
AXIN1	CTNNB1	KEGG
MIR221	PTEN	KEGG
FOS	CCL17	KEGG
TP53	BID	KEGG
IL12RB1	STAT4	KEGG
MAPK8	BID	KEGG
SRC	PXN	KEGG
CARD6	RIPK2	KEGG
FKBP8	CALCOCO2	KEGG
GDF7	BMPR1A	KEGG
MAPK8	IL12A	KEGG
RAP1A	AFDN	KEGG
FOXO1	CAT	KEGG
USP30	FKBP8	KEGG
AKT3	BAD	KEGG
DBP	PER1	KEGG
PTH1R	GNB5	KEGG
C5AR1	VWF	KEGG
CEBPB	TNF	KEGG
PRKCI	PARD3	KEGG
ZNF76	HCFC1	KEGG
LYN	FCER1G	KEGG
PTPN2	JAK2	KEGG
LSP1	RRAS2	KEGG
MIR26A1	PTEN	KEGG
CGN	GATA4	KEGG
PGR	CCND1	KEGG
RPS6KA5	CREB1	KEGG
CAMK4	PPARGC1A	KEGG
NFKB1	CSF1	KEGG
NFKB2	VIM	KEGG
TP53	SHISA5	KEGG
