source	target	direction
AGTR2	GNB5	KEGG
ITGA2B	GNA13	KEGG
NFKB1	ICAM1	KEGG
EDN1	EDNRA	KEGG
GAB2	P3R3URF-PIK3R3	KEGG
FOS	ICAM1	KEGG
PECAM1	PTPN6	KEGG
GZMB	DFFA	KEGG
MIR224	MMP9	KEGG
CREBBP	LEF1	KEGG
GRM1	TRPC1	KEGG
GRM1	GNA13	KEGG
PTPA	MLXIP	KEGG
JUN	IL6	KEGG
AVP	AVPR1A	KEGG
ATF6	HSPA5	KEGG
TNFSF13B	TNFRSF13B	KEGG
SOS1	MRAS	KEGG
BBC3	BCL2L1	KEGG
RIN1	RAB5A	KEGG
EPHA2	NGEF	KEGG
PTK2B	RAC1	KEGG
DUSP1	MAPK14	KEGG
PLCB1	EGFR	KEGG
CCR5	TNF	KEGG
ROCK1	MYL12B	KEGG
STAT1	HLA-DMA	KEGG
SIAH1	CTNNB1	KEGG
ARHGDIA	RHOA	KEGG
IFNAR1	TNFSF10	KEGG
CHUK	NFKB1	KEGG
TSHR	GNAS	KEGG
NOD1	RIPK2	KEGG
SPI1	ITGAM	KEGG
TRAF6	IRF5	KEGG
MTNR1B	GNB5	KEGG
ATM	CHEK2	KEGG
AGER	HRAS	KEGG
SYK	MAPK1	KEGG
CDC42	MAP3K11	KEGG
PTAFR	IL10	KEGG
CAMKK2	PRKAG2	KEGG
CACNA1I	CALML6	KEGG
CDH5	CTNNB1	KEGG
TLR5	NFKB1	KEGG
MAPK14	ELK1	KEGG
PRKACA	CARM1	KEGG
OLR1	BAX	KEGG
CREB1	CD74	KEGG
GRM1	HOMER3	KEGG
F11R	JAM2	KEGG
HLA-A	B2M	KEGG
CD40	MAP3K14	KEGG
HEY1	ERBB2	KEGG
SSTR1	GNAI1	KEGG
RGS9	GNAI1	KEGG
AKT3	NFKB1	KEGG
PREB	SAR1B	KEGG
PRKAG2	TBC1D1	KEGG
CTNNB1	CDH2	KEGG
PRKCE	PPP1CA	KEGG
AKT3	FOXO4	KEGG
NFATC1	CXCL1	KEGG
MIR125A	BAK1	KEGG
STAT1	IRF9	KEGG
NR4A1	POMC	KEGG
CASP8	CASP10	KEGG
PRKACA	HSD3B1	KEGG
POU2F3	CD40LG	KEGG
P3R3URF-PIK3R3	RAC1	KEGG
BRCA1	BRIP1	KEGG
INHA	ACVR2B	KEGG
NFKB1	BIRC2	KEGG
MTOR	RHOA	KEGG
ERBB2	P3R3URF-PIK3R3	KEGG
PPARA	ACOX1	KEGG
STAT3	IL12A	KEGG
CDK4	CCND1	KEGG
TRADD	CASP3	KEGG
JUN	CXCL8	KEGG
CHRNA7	ARRB1	KEGG
DKK1	LRP6	KEGG
MAPK1	MKNK2	KEGG
RIPK3	SMPD1	KEGG
NCAM1	CNTN2	KEGG
GHRHR	GNB5	KEGG
GPER1	SRC	KEGG
PRKCA	ADCY1	KEGG
PIN1	IRF3	KEGG
SLAMF6	SH2D1A	KEGG
FOS	LCN2	KEGG
TIAM1	RAC1	KEGG
TICAM1	MAP2K1	KEGG
GCGR	GNB5	KEGG
TKFC	IFIH1	KEGG
PPM1A	MAP2K7	KEGG
EDNRA	GNAQ	KEGG
ARAF	MAP2K1	KEGG
RIPK3	MLKL	KEGG
PLK1	CDC25A	KEGG
HTT	SDHA	KEGG
F2R	GNAQ	KEGG
GNA13	PIK3R6	KEGG
STAT6	IL2RA	KEGG
CYTH4	ARF6	KEGG
MAP4K3	MAP3K1	KEGG
PRKACA	PAX8	KEGG
ATF2	UCP1	KEGG
UNC5D	PTPN11	KEGG
TP53	SIVA1	KEGG
IRF9	RSAD2	KEGG
NFE2L2	NOS3	KEGG
SRC	ARHGAP35	KEGG
CCK	CCKAR	KEGG
ASAP1	ARF6	KEGG
IGF1	TRPV2	KEGG
MIR143	PDGFRB	KEGG
NFKB1	CCL7	KEGG
XIAP	RIPK2	KEGG
CXADR	MPDZ	KEGG
SLAMF6	CSK	KEGG
PRKCB	TYR	KEGG
FOS	CCL7	KEGG
IRF7	IFNA1	KEGG
RIPK1	RIPK3	KEGG
PMAIP1	BCL2L1	KEGG
PLCB1	PRKCB	KEGG
BABAM1	UIMC1	KEGG
RBPJL	MYC	KEGG
MRAS	RAPGEF5	KEGG
CDK9	NELFB	KEGG
MAPK14	IL23A	KEGG
PUM2	ATXN1L	KEGG
CREB3	VEGFD	KEGG
HIF1A	PDK1	KEGG
MIR126	SLC45A3	KEGG
UTS2	UTS2R	KEGG
ERBIN	NOD2	KEGG
SYK	LCP2	KEGG
ESR1	ATP2B1	KEGG
FGD1	CDC42	KEGG
ADORA1	GNAS	KEGG
EIF2AK2	IRS1	KEGG
IRF9	FOS	KEGG
BDKRB2	GNAI1	KEGG
C5AR1	NFKB1	KEGG
RUNX1	RORC	KEGG
IRF9	STAT1	KEGG
KIDINS220	CRK	KEGG
ADAM10	HBEGF	KEGG
MYD88	IRAK1	KEGG
PRKACA	SCN1B	KEGG
GCG	GLP1R	KEGG
SDC2	MSN	KEGG
GRM1	GRIN3A	KEGG
IL18RAP	NFKB1	KEGG
JUN	IL12A	KEGG
STAT3	SOCS3	KEGG
CD14	TLR2	KEGG
HMGB1	AGER	KEGG
C3	C5	KEGG
LYN	SYK	KEGG
NFATC1	IL13	KEGG
STAT3	HIF1A	KEGG
PRKACA	KDM3B	KEGG
RRAS2	RAF1	KEGG
UBE3A	NFX1	KEGG
PRKACA	PPP1R1A	KEGG
SHC2	SOS1	KEGG
TGFB1	MIR21	KEGG
AGTR1	TGFB2	KEGG
FOXO6	CCNG2	KEGG
CYLD	BCL3	KEGG
SYK	HRAS	KEGG
NTRK2	IRS1	KEGG
KIF3A	ARRB1	KEGG
FOXO6	IL7R	KEGG
AKT3	SLC2A4	KEGG
TF	TFRC	KEGG
RLN1	RXFP1	KEGG
RELN	VLDLR	KEGG
PAK1	MYO6	KEGG
CREB3	BCL2	KEGG
MAPK1	ESR1	KEGG
SDC1	MAPK1	KEGG
NLRP7	PYCARD	KEGG
STAT3	MIR21	KEGG
NOS1	GUCY1A2	KEGG
EGFR	CTNND1	KEGG
PROS1	TYRO3	KEGG
ALK	P3R3URF-PIK3R3	KEGG
EXOC7	SLC2A4	KEGG
DCC	PLCG1	KEGG
IL1R1	TRAF6	KEGG
TYROBP	KIR2DS2	KEGG
CALML6	PDE1A	KEGG
MIR224	PAK4	KEGG
DDX41	STING1	KEGG
GNAI1	ADCY1	KEGG
PRKG1	RGS2	KEGG
NR1H3	ABCA1	KEGG
RRAS2	P3R3URF-PIK3R3	KEGG
LIMK1	CFL1	KEGG
MOS	MAP2K1	KEGG
TICAM2	TICAM1	KEGG
PRKCB	IRS1	KEGG
CCL26	CXCR6	KEGG
AKT3	PRKAG2	KEGG
KRAS	P3R3URF-PIK3R3	KEGG
PAK4	LIMK1	KEGG
CCL5	CCR4	KEGG
TCF3	LCK	KEGG
NGEF	CDC42	KEGG
ATF4	DDIT3	KEGG
ORMDL2	SPTLC1	KEGG
LAT	GRAP2	KEGG
GNAS	ADCY6	KEGG
FOSB	HDAC1	KEGG
FOXO3	FASLG	KEGG
GNA13	PLA2G4B	KEGG
IRF3	CD80	KEGG
ONECUT1	HNF1B	KEGG
AXL	SHC2	KEGG
JUN	ENTPD8	KEGG
CD274	PDCD1	KEGG
EPAS1	SLC2A1	KEGG
C3	ITGAM	KEGG
DCN	MET	KEGG
SOX17	LEF1	KEGG
PPP2CA	PRKCA	KEGG
MIR31	RDX	KEGG
ZNFX1	MAVS	KEGG
TNF	VCAM1	KEGG
CASTOR1	MIOS	KEGG
NFKB1	IL15	KEGG
FCGR2B	IL12A	KEGG
TNFSF13	TNFRSF13B	KEGG
PRKCA	EGLN2	KEGG
MIR126	CRK	KEGG
CASP8	RIPK3	KEGG
DIAPH1	PFN3	KEGG
FARP2	CDC42	KEGG
MTOR	JUNB	KEGG
CASTOR1	CASTOR2	KEGG
OLR1	MAPK8	KEGG
NOD2	RIPK2	KEGG
HRH2	GNAS	KEGG
TNFSF12	TNFRSF12A	KEGG
IL13	IL13RA2	KEGG
LEF1	CREB1	KEGG
SRC	SYK	KEGG
ARRB1	102723532	KEGG
SYK	PLCG2	KEGG
MIR449C	HDAC1	KEGG
TP53	THBS1	KEGG
PPP1CA	CREB3	KEGG
RAPGEF2	RAP2C	KEGG
EPO	CSF2RB	KEGG
IRF3	CXCL10	KEGG
TNFRSF1A	CASP8	KEGG
CCNE1	RB1	KEGG
PRKAG2	PPARGC1A	KEGG
MMP2	VEGFA	KEGG
CTU1	CTU2	KEGG
LRFN5	PTPRD	KEGG
GATA3	IL4R	KEGG
PTK2	CRK	KEGG
TMBIM6	BAK1	KEGG
LY9	PTPN6	KEGG
APOC2	LPL	KEGG
CASP8	NFKBIA	KEGG
MTOR	TP53	KEGG
SDC4	PTK2	KEGG
NFE2L2	ASS1	KEGG
ROCK1	SLC9A1	KEGG
ZYX	ACTN4	KEGG
NFKB1	BCL2A1	KEGG
PRKACA	VAMP2	KEGG
TLR9	MYD88	KEGG
RUNX1	CSF2	KEGG
SRC	MAP3K2	KEGG
CCKBR	GNAQ	KEGG
NFATC1	CD274	KEGG
CLEC4M	ICAM2	KEGG
IL23A	IL23R	KEGG
HOMER3	P3R3URF-PIK3R3	KEGG
KDR	PXN	KEGG
MASP2	C4B_2	KEGG
STAT3	VEGFA	KEGG
CX3CR1	MERTK	KEGG
FOS	CCL5	KEGG
ZFP36	CSF2	KEGG
CASR	GNAI1	KEGG
MAPK8	IRS2	KEGG
FOXO3	PCK1	KEGG
IKBKE	TRAF3IP2	KEGG
RASSF1	STK3	KEGG
CTNNB1	VEGFA	KEGG
BNIP3	PPID	KEGG
TRDN	HRC	KEGG
MYH6	MYL3	KEGG
STAT1	TRAF2	KEGG
STAT3	IL22	KEGG
PRKG1	ATP2B1	KEGG
SRC	TJP1	KEGG
RRAS	RALGDS	KEGG
AGTR1	GNA11	KEGG
NGFR	TRAF6	KEGG
AFDN	CTNND1	KEGG
L1CAM	MAP2	KEGG
MIRLET7A1	STAT3	KEGG
PRKCE	SPHK2	KEGG
NFATC1	CDK4	KEGG
MET	GRB2	KEGG
SREBF1	GCK	KEGG
PRKACA	PTK2	KEGG
TNFSF11	TNFRSF11A	KEGG
PRKACA	SLC9A1	KEGG
CSNK2A1	FUNDC1	KEGG
OGT	MLXIP	KEGG
DCN	EGFR	KEGG
FLT3	P3R3URF-PIK3R3	KEGG
MAPK1	IFNG	KEGG
FGFR3	HRAS	KEGG
OMA1	OPA1	KEGG
HTR2A	GNA11	KEGG
ESR1	EGF	KEGG
P3R3URF-PIK3R3	AKT3	KEGG
CEBPB	MMP1	KEGG
COMP	CD36	KEGG
MIR30A	ITGB3	KEGG
GNB5	PRKAG2	KEGG
PRKACA	PPP1R1B	KEGG
NR1H4	ABCB11	KEGG
NTS	NTSR2	KEGG
FOS	HRK	KEGG
NCK1	PAK4	KEGG
HSPA5	EIF2AK3	KEGG
TP53	PPM1D	KEGG
IGF1	INSR	KEGG
ARHGAP17	CDC42	KEGG
PTH1R	GNAI1	KEGG
CHEK1	TP53	KEGG
NEUROG3	PAX4	KEGG
PRKACA	CYP19A1	KEGG
MDM2	IRF1	KEGG
TBX21	RUNX3	KEGG
SIPA1L1	RAP1A	KEGG
RALA	MAPK8	KEGG
NR1H3	ALOX15	KEGG
SOD1	DNAL4	KEGG
PDYN	GRIN3A	KEGG
SHOC2	RAF1	KEGG
NFKB1	MMP3	KEGG
DCC	PTK2	KEGG
CCL4L1	CCR5	KEGG
TP53INP2	GABARAP	KEGG
BCL2	PPID	KEGG
FOS	MMP3	KEGG
HGF	MET	KEGG
NFKB1	CTSL	KEGG
RORA	IL17F	KEGG
SRC	GIT2	KEGG
EXOC2	TBK1	KEGG
MTOR	ULK1	KEGG
FOS	CTSL	KEGG
NR4A1	NCEH1	KEGG
GNB3	PLCB1	KEGG
NEFH	KLC3	KEGG
SKP1	CUL1	KEGG
CFB	C3	KEGG
MAP2K4	CRK	KEGG
P3R3URF-PIK3R3	FOXO1	KEGG
CD244	SH2D1B	KEGG
SEMA3A	NRP1	KEGG
JUN	IL13	KEGG
MIR30A	PDGFA	KEGG
